INDV,N_DATA,N_MISS,F_MISS,SITE,sheath_length,sheath_width,depth,mean_temp_C
B_WP11I,446718,22889,0.0512381,B_WP,110,6.5,intertidal,16.8
B_WP13I,446718,19863,0.0444643,B_WP,97,6,intertidal,16.8
B_WP14I,446718,10571,0.0236637,B_WP,70,6.5,intertidal,16.8
B_WP15I,446718,25336,0.0567159,B_WP,77,5.5,intertidal,16.8
B_WP23S,446718,100985,0.22606,B_WP,335,9,subtidal,16.4
B_WP25S,446718,76564,0.171392,B_WP,367,8,subtidal,16.4
B_WP26S,446718,81241,0.181862,B_WP,256,8.5,subtidal,16.4
B_WP28S,446718,48593,0.108778,B_WP,312,8.5,subtidal,16.4
B_WP29S,446718,14652,0.0327992,B_WP,315,9,subtidal,16.4
B_WP30S,446718,20818,0.0466021,B_WP,356,9.5,subtidal,16.4
B_WP31I,446718,16030,0.0358839,B_WP,145,6.5,intertidal,16.8
B_WP32I,446718,38667,0.086558,B_WP,84,5,intertidal,16.8
B_WP33I,446718,35192,0.078779,B_WP,100,5.5,intertidal,16.8
B_WP34I,446718,10217,0.0228713,B_WP,138,6,intertidal,16.8
B_WP36S,446718,37394,0.0837083,B_WP,109,6,subtidal,16.4
B_WP38S,446718,6259,0.0140111,B_WP,158,10,subtidal,16.4
B_WP39S,446718,16948,0.0379389,B_WP,95,7,subtidal,16.4
B_WP40S,446718,37956,0.0849664,B_WP,93,10,subtidal,16.4
T_BL01,446718,5965,0.0133529,T_BL,118,7.5,intertidal,20.4
T_BL02,446718,60621,0.135703,T_BL,135,6.5,intertidal,20.4
T_BL03,446718,106438,0.238267,T_BL,138,8,intertidal,20.4
T_BL04,446718,120077,0.268798,T_BL,179,8,intertidal,20.4
T_BL05,446718,53007,0.118659,T_BL,172,8,intertidal,20.4
T_BL10,446718,10118,0.0226496,T_BL,118,7,intertidal,20.4
T_BL11,446718,4628,0.01036,T_BL,forgot to measure,forgot to measure,intertidal,20.4
T_BL12,446718,13563,0.0303614,T_BL,forgot to measure,forgot to measure,intertidal,20.4
T_BL13,446718,16706,0.0373972,T_BL,forgot to measure,forgot to measure,intertidal,20.4
T_BL14,446718,6112,0.013682,T_BL,158,7,intertidal,20.4
T_BL15,446718,8112,0.0181591,T_BL,168,8,intertidal,20.4
T_BL16,446718,7657,0.0171406,T_BL,85,6,intertidal,20.4
T_BL17,446718,20458,0.0457962,T_BL,140,7.5,intertidal,20.4
T_BL18,446718,10877,0.0243487,T_BL,112,8,intertidal,20.4
T_HD02,446718,86044,0.192614,T_HD,193,7,intertidal,20.9
T_HD06,446718,76059,0.170262,T_HD,168,8,intertidal,20.9
T_HD08,446718,70139,0.15701,T_HD,133,6.5,intertidal,20.9
T_HD11,446718,6380,0.0142819,T_HD,114,9,intertidal,20.9
T_HD12,446718,8447,0.018909,T_HD,143,8,intertidal,20.9
T_HD13,446718,12828,0.0287161,T_HD,131,8,intertidal,20.9
T_HD14,446718,13090,0.0293026,T_HD,95,7,intertidal,20.9
T_HD15,446718,9892,0.0221437,T_HD,125,8,intertidal,20.9
T_HD16,446718,31838,0.0712709,T_HD,255,8,intertidal,20.9
T_HD17,446718,9491,0.0212461,T_HD,177,7.5,intertidal,20.9
T_HD18,446718,11184,0.0250359,T_HD,219,9,intertidal,20.9
T_HD19,446718,27009,0.060461,T_HD,138,6,intertidal,20.9
T_LL04,446718,72185,0.16159,T_LL,275,10.5,intertidal,17.3
T_LL10,446718,49129,0.109978,T_LL,284,8.5,intertidal,17.3
T_LL11,446718,66499,0.148861,T_LL,243,9,intertidal,17.3
T_LL12,446718,48412,0.108373,T_LL,391,10,intertidal,17.3
T_LL13,446718,87977,0.196941,T_LL,323,9.5,intertidal,17.3
T_LL14,446718,22068,0.0494003,T_LL,266,10.5,intertidal,17.3
T_LL15,446718,20081,0.0449523,T_LL,312,9,intertidal,17.3
T_LL31,446718,11569,0.0258978,T_LL,210,8,intertidal,17.3
T_LL32,446718,11480,0.0256985,T_LL,310,7.5,intertidal,17.3
T_LL33,446718,13931,0.0311852,T_LL,321,9,intertidal,17.3
T_LL34,446718,7752,0.0173532,T_LL,263,9,intertidal,17.3
T_LL35,446718,14267,0.0319374,T_LL,280,9.5,intertidal,17.3
T_LL36,446718,35010,0.0783716,T_LL,243,10,intertidal,17.3
T_LL37,446718,34308,0.0768001,T_LL,248,10,intertidal,17.3
T_MP02,446718,53389,0.119514,T_MP,120,7.5,intertidal,22.2
T_MP07,446718,58317,0.130545,T_MP,127,7.5,intertidal,22.2
T_MP11,446718,109894,0.246003,T_MP,124,7,intertidal,22.2
T_MP12,446718,93427,0.209141,T_MP,121,7.5,intertidal,22.2
T_MP13,446718,96134,0.215201,T_MP,133,8,intertidal,22.2
T_MP14,446718,44354,0.0992886,T_MP,110,6.5,intertidal,22.2
T_MP15,446718,13778,0.0308427,T_MP,141,8.5,intertidal,22.2
T_MP16,446718,15192,0.034008,T_MP,212,7.5,intertidal,22.2
T_MP17,446718,9228,0.0206573,T_MP,210,8,intertidal,22.2
T_MP18,446718,12292,0.0275162,T_MP,202,7.5,intertidal,22.2
T_MP19,446718,24285,0.0543632,T_MP,118,6.5,intertidal,22.2
T_MP20,446718,51957,0.116308,T_MP,124,8,intertidal,22.2
T_MP21,446718,46592,0.104298,T_MP,136,6,intertidal,22.2
T_MS02,446718,36021,0.0806348,T_MS,97,8,intertidal,20.9
T_MS03,446718,52196,0.116843,T_MS,130,8,intertidal,20.9
T_MS04,446718,95676,0.214175,T_MS,115,6.5,intertidal,20.9
T_MS06,446718,36583,0.0818928,T_MS,112,8,intertidal,20.9
T_MS08,446718,108684,0.243294,T_MS,162,7.5,intertidal,20.9
T_MS09,446718,44366,0.0993155,T_MS,forgot to measure,forgot to measure,intertidal,20.9
T_MS10,446718,51666,0.115657,T_MS,145,8,intertidal,20.9
T_MS11,446718,13577,0.0303928,T_MS,142,7.5,intertidal,20.9
T_MS12,446718,16195,0.0362533,T_MS,124,7.5,intertidal,20.9
T_MS13,446718,21207,0.0474729,T_MS,128,6.5,intertidal,20.9
T_MS14,446718,22467,0.0502935,T_MS,161,8,intertidal,20.9
T_MS16,446718,39760,0.0890047,T_MS,211,9,intertidal,20.9
T_MS17,446718,24792,0.0554981,T_MS,152,6,intertidal,20.9
T_NC01,446718,73507,0.164549,T_NC,113,7,intertidal,20.3
T_NC02,446718,66772,0.149472,T_NC,112,7,intertidal,20.3
T_NC04,446718,125714,0.281417,T_NC,132,6.5,intertidal,20.3
T_NC05,446718,39680,0.0888256,T_NC,95,7.5,intertidal,20.3
T_NC08,446718,101475,0.227157,T_NC,117,7.5,intertidal,20.3
T_NC09,446718,75145,0.168216,T_NC,143,8.5,intertidal,20.3
T_NC10,446718,16376,0.0366585,T_NC,174,7,intertidal,20.3
T_NC11,446718,8364,0.0187232,T_NC,103,7.5,intertidal,20.3
T_NC13,446718,25805,0.0577657,T_NC,104,8,intertidal,20.3
T_NC14,446718,32891,0.0736281,T_NC,102,8,intertidal,20.3
T_NC15,446718,9492,0.0212483,T_NC,104,8,intertidal,20.3
T_NC16,446718,61873,0.138506,T_NC,183,7,intertidal,20.3
T_NC17,446718,24772,0.0554533,T_NC,100,7,intertidal,20.3
T_NC18,446718,25133,0.0562614,T_NC,216,6.5,intertidal,20.3
T_PB05,446718,17919,0.0401126,T_PB,295,10,intertidal,16.1
T_PB08,446718,15299,0.0342476,T_PB,239,10.5,intertidal,16.1
T_PB09,446718,22909,0.0512829,T_PB,129,9,intertidal,16.1
T_PB11,446718,24953,0.0558585,T_PB,194,10.5,intertidal,16.1
T_PB12,446718,11163,0.0249889,T_PB,torn off,9,intertidal,16.1
T_PB15,446718,40689,0.0910843,T_PB,270,11,intertidal,16.1
T_PP01,446718,76045,0.17023,T_PP,195,7.5,intertidal,16.8
T_PP03,446718,65982,0.147704,T_PP,395,9,intertidal,16.8
T_PP04,446718,69626,0.155861,T_PP,388,8.5,intertidal,16.8
T_PP05,446718,83442,0.186789,T_PP,255,10,intertidal,16.8
T_PP06,446718,38415,0.0859938,T_PP,269,9.5,intertidal,16.8
T_PP07,446718,38586,0.0863766,T_PP,139,9,intertidal,16.8
T_PP08,446718,12422,0.0278073,T_PP,149,8.5,intertidal,16.8
T_PP10,446718,18381,0.0411468,T_PP,263,8,intertidal,16.8
T_PP12,446718,7566,0.0169369,T_PP,286,10,intertidal,16.8
T_PP15,446718,28068,0.0628316,T_PP,275,9,intertidal,16.8
T_SL01,446718,86009,0.192535,T_SL,215,10,intertidal,19.8
T_SL07,446718,41757,0.0934751,T_SL,162,10,intertidal,19.8
T_SL08,446718,91750,0.205387,T_SL,160,8,intertidal,19.8
T_SL11,446718,27615,0.0618175,T_SL,238,9,intertidal,19.8
T_SL12,446718,5237,0.0117233,T_SL,138,5.5,intertidal,19.8
T_SL14,446718,5316,0.0119001,T_SL,181,9.5,intertidal,19.8
T_SL15,446718,20752,0.0464544,T_SL,256,9,intertidal,19.8
T_SL16,446718,57753,0.129283,T_SL,111,6,intertidal,19.8
T_SL17,446718,10367,0.023207,T_SL,193,8.5,intertidal,19.8
T_SL19,446718,59999,0.134311,T_SL,137,9.5,intertidal,19.8
T_TB02,446718,103600,0.231914,T_TB,155,9.5,intertidal,22
T_TB03,446718,14821,0.0331775,T_TB,160,11,intertidal,22
T_TB07,446718,60216,0.134796,T_TB,115,7,intertidal,22
T_TB12,446718,9191,0.0205745,T_TB,150,10,intertidal,22
T_TB14,446718,13437,0.0300794,T_TB,150,9.5,intertidal,22
T_TB15,446718,34051,0.0762248,T_TB,159,9.5,intertidal,22
T_TB17,446718,28528,0.0638613,T_TB,228,8,intertidal,22
T_TB18,446718,13073,0.0292645,T_TB,215,9,intertidal,22
